epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,3647.28,0.78786,0.85031,1.24768,0.78773,0.68444,0.72238,0.55469,0.81441,0.82027,1.28115,0.008119,0.008119,0.008119
21,3827.89,0.78582,0.84143,1.24511,0.76549,0.69036,0.72161,0.55683,0.80871,0.8283,1.2719,0.00802,0.00802,0.00802
22,4008.72,0.769,0.82049,1.23605,0.78972,0.68972,0.7202,0.55525,0.80466,0.81632,1.27753,0.007921,0.007921,0.007921
23,4189.16,0.77157,0.81357,1.23491,0.78113,0.69871,0.72622,0.56176,0.79477,0.81786,1.25603,0.007822,0.007822,0.007822
24,4369.82,0.76752,0.80713,1.23459,0.78313,0.70455,0.72986,0.56712,0.79088,0.79776,1.26257,0.007723,0.007723,0.007723
25,4550.46,0.76031,0.79586,1.22755,0.80025,0.68916,0.74177,0.57844,0.78316,0.78094,1.25622,0.007624,0.007624,0.007624
26,4730.9,0.75489,0.78425,1.22357,0.79615,0.70553,0.74036,0.57813,0.78477,0.77904,1.25258,0.007525,0.007525,0.007525
27,4911.45,0.75436,0.77261,1.22451,0.80899,0.69573,0.74404,0.58235,0.78243,0.77159,1.25168,0.007426,0.007426,0.007426
28,5091.99,0.74445,0.76186,1.21635,0.78923,0.71066,0.73423,0.57523,0.77711,0.79495,1.24897,0.007327,0.007327,0.007327
29,5272.47,0.74075,0.757,1.2132,0.79068,0.70888,0.74235,0.58501,0.76963,0.77244,1.24323,0.007228,0.007228,0.007228
30,5453.06,0.73927,0.7446,1.21008,0.79638,0.70539,0.74689,0.58632,0.77164,0.76694,1.24738,0.007129,0.007129,0.007129
31,5633.56,0.7332,0.74059,1.20405,0.81226,0.70853,0.74662,0.58627,0.7683,0.76666,1.24222,0.00703,0.00703,0.00703
32,5814.11,0.73469,0.73376,1.20638,0.79796,0.71674,0.74834,0.58989,0.76667,0.76492,1.24394,0.006931,0.006931,0.006931
33,5994.76,0.729,0.73,1.20392,0.79786,0.71693,0.75205,0.59322,0.76691,0.75898,1.24058,0.006832,0.006832,0.006832
34,6175.4,0.72062,0.7173,1.19917,0.80694,0.70985,0.75336,0.59476,0.76476,0.75706,1.2394,0.006733,0.006733,0.006733
35,6356.04,0.72262,0.70932,1.19492,0.80898,0.71371,0.75242,0.59554,0.76114,0.75526,1.23884,0.006634,0.006634,0.006634
36,6536.72,0.71321,0.69968,1.1898,0.8016,0.72097,0.75702,0.59936,0.75915,0.74334,1.23749,0.006535,0.006535,0.006535
37,6717.13,0.71484,0.69955,1.19189,0.81679,0.71241,0.75902,0.60002,0.7585,0.74204,1.239,0.006436,0.006436,0.006436
38,6897.73,0.70944,0.69179,1.18789,0.79318,0.73343,0.7597,0.60074,0.75942,0.73904,1.23854,0.006337,0.006337,0.006337
39,7078.73,0.70752,0.68189,1.18238,0.80539,0.72052,0.75945,0.60113,0.75929,0.73885,1.2377,0.006238,0.006238,0.006238
40,7259.45,0.7074,0.68628,1.18634,0.80459,0.72486,0.76095,0.60213,0.75963,0.73841,1.2391,0.006139,0.006139,0.006139
41,7439.87,0.69926,0.67525,1.17893,0.82223,0.71626,0.76141,0.60348,0.75753,0.73872,1.23609,0.00604,0.00604,0.00604
42,7620.44,0.70182,0.67001,1.17881,0.8221,0.71995,0.7626,0.60464,0.75718,0.73861,1.23554,0.005941,0.005941,0.005941
43,7800.79,0.693,0.66972,1.17639,0.827,0.71642,0.76422,0.606,0.75673,0.73693,1.23486,0.005842,0.005842,0.005842
44,7981.12,0.68833,0.66343,1.17235,0.8157,0.72213,0.76571,0.60699,0.75712,0.73394,1.2351,0.005743,0.005743,0.005743
45,8161.44,0.68755,0.65275,1.17199,0.81727,0.72731,0.7672,0.60872,0.75607,0.7329,1.23517,0.005644,0.005644,0.005644
46,8341.77,0.68314,0.6452,1.16747,0.81227,0.72865,0.76757,0.60967,0.75527,0.7332,1.23484,0.005545,0.005545,0.005545
47,8522.06,0.68115,0.63993,1.16574,0.81391,0.72821,0.76779,0.61039,0.75477,0.73237,1.23532,0.005446,0.005446,0.005446
48,8702.61,0.67637,0.63497,1.16175,0.80813,0.7311,0.76788,0.61096,0.75404,0.73311,1.23509,0.005347,0.005347,0.005347
49,8883.19,0.67123,0.63035,1.16064,0.80689,0.73252,0.76782,0.61077,0.75384,0.73146,1.23564,0.005248,0.005248,0.005248
50,9063.47,0.67025,0.63043,1.1606,0.80744,0.73463,0.76947,0.61181,0.75361,0.72886,1.23567,0.005149,0.005149,0.005149
51,9244.06,0.66027,0.61607,1.15431,0.80895,0.73389,0.76983,0.61249,0.75353,0.72786,1.23622,0.00505,0.00505,0.00505
52,9424.62,0.66156,0.6149,1.15105,0.80932,0.73273,0.76933,0.61265,0.75288,0.72865,1.23598,0.004951,0.004951,0.004951
53,9605.17,0.65845,0.61012,1.15284,0.81038,0.7322,0.76896,0.61274,0.75267,0.72919,1.23591,0.004852,0.004852,0.004852
54,9785.71,0.65434,0.60332,1.14806,0.81075,0.73131,0.76873,0.61261,0.75268,0.72909,1.23597,0.004753,0.004753,0.004753
55,9966.18,0.65241,0.59822,1.14654,0.80981,0.73194,0.76854,0.61242,0.75235,0.72956,1.23581,0.004654,0.004654,0.004654
56,10146.6,0.64767,0.59098,1.14199,0.81115,0.73235,0.76837,0.61254,0.75225,0.72987,1.23571,0.004555,0.004555,0.004555
57,10326.9,0.64624,0.5882,1.14252,0.81264,0.73166,0.76854,0.61288,0.75256,0.73029,1.23602,0.004456,0.004456,0.004456
58,10507.1,0.64206,0.58724,1.14348,0.81245,0.73339,0.76891,0.61343,0.75233,0.72916,1.23621,0.004357,0.004357,0.004357
59,10687.4,0.63814,0.5758,1.13583,0.81045,0.7348,0.76922,0.61377,0.75202,0.72913,1.23586,0.004258,0.004258,0.004258
60,10867.7,0.63415,0.56518,1.13601,0.80926,0.73435,0.7694,0.61403,0.75173,0.72934,1.23552,0.004159,0.004159,0.004159
61,11048,0.63251,0.56785,1.13316,0.81038,0.73477,0.76952,0.61399,0.75169,0.72905,1.23543,0.00406,0.00406,0.00406
62,11228.6,0.62609,0.56409,1.1291,0.81205,0.7355,0.76976,0.61468,0.752,0.72814,1.23588,0.003961,0.003961,0.003961
63,11409.1,0.62341,0.55965,1.12744,0.81123,0.73569,0.76944,0.615,0.75215,0.72833,1.23637,0.003862,0.003862,0.003862
64,11589.5,0.62212,0.55418,1.12608,0.8129,0.73613,0.76928,0.61491,0.7522,0.72913,1.2366,0.003763,0.003763,0.003763
65,11769.7,0.61609,0.54393,1.12125,0.81332,0.73685,0.76929,0.61456,0.75234,0.72922,1.23694,0.003664,0.003664,0.003664
66,11949.9,0.61555,0.54271,1.11951,0.81421,0.736,0.76964,0.6151,0.75277,0.72917,1.23769,0.003565,0.003565,0.003565
67,12130,0.61405,0.53531,1.11925,0.81622,0.736,0.76992,0.6158,0.75294,0.72949,1.2381,0.003466,0.003466,0.003466
68,12310.1,0.60673,0.52625,1.11647,0.81778,0.73485,0.77013,0.6162,0.75289,0.73011,1.23821,0.003367,0.003367,0.003367
69,12490.5,0.60037,0.52665,1.11108,0.81838,0.73427,0.76958,0.6157,0.75295,0.7311,1.23858,0.003268,0.003268,0.003268
70,12670.6,0.59986,0.5195,1.11114,0.81972,0.73436,0.76946,0.61576,0.75296,0.73135,1.2385,0.003169,0.003169,0.003169
71,12851,0.5952,0.51667,1.10649,0.8215,0.73382,0.76974,0.6158,0.75334,0.73097,1.23893,0.00307,0.00307,0.00307
72,13031.1,0.58767,0.5075,1.10244,0.82164,0.73407,0.76989,0.61572,0.75353,0.73093,1.23931,0.002971,0.002971,0.002971
73,13211.2,0.59323,0.50645,1.10296,0.82407,0.73181,0.77042,0.61617,0.75361,0.73081,1.23962,0.002872,0.002872,0.002872
74,13391.4,0.58496,0.49651,1.10173,0.82523,0.73251,0.77076,0.61625,0.75387,0.72983,1.23992,0.002773,0.002773,0.002773
75,13571.8,0.57584,0.49349,1.0986,0.82603,0.7315,0.77105,0.61631,0.75379,0.7297,1.24009,0.002674,0.002674,0.002674
76,13752.2,0.57713,0.4879,1.09432,0.82713,0.7315,0.77123,0.61693,0.7539,0.73018,1.24048,0.002575,0.002575,0.002575
77,13932.6,0.57128,0.47954,1.09282,0.82744,0.73058,0.77106,0.61711,0.75415,0.72975,1.24102,0.002476,0.002476,0.002476
78,14112.8,0.57018,0.48147,1.0913,0.82748,0.72968,0.7712,0.61714,0.75421,0.72947,1.24135,0.002377,0.002377,0.002377
79,14292.9,0.57195,0.47686,1.09067,0.82862,0.72978,0.77149,0.61758,0.75443,0.73017,1.24195,0.002278,0.002278,0.002278
80,14473.2,0.55911,0.46116,1.08063,0.82759,0.72997,0.77196,0.61785,0.75472,0.73021,1.24257,0.002179,0.002179,0.002179
81,14653.7,0.55441,0.46196,1.07907,0.82838,0.72974,0.77223,0.61816,0.75497,0.7299,1.2432,0.00208,0.00208,0.00208
82,14833.9,0.55025,0.4588,1.07632,0.8308,0.72903,0.77255,0.61806,0.75523,0.73027,1.2439,0.001981,0.001981,0.001981
83,15013.9,0.54485,0.45432,1.07149,0.83277,0.72809,0.77336,0.61877,0.75489,0.73016,1.24379,0.001882,0.001882,0.001882
84,15194.3,0.53729,0.44528,1.06794,0.83291,0.7283,0.77338,0.61919,0.75502,0.73029,1.2443,0.001783,0.001783,0.001783
85,15374.5,0.54163,0.44304,1.06861,0.83215,0.72926,0.7735,0.61919,0.75522,0.73084,1.24501,0.001684,0.001684,0.001684
86,15554.8,0.5317,0.43635,1.06422,0.83152,0.72956,0.77345,0.61961,0.75504,0.73144,1.24525,0.001585,0.001585,0.001585
87,15735.2,0.52866,0.43113,1.0612,0.83389,0.72893,0.7732,0.61929,0.7548,0.73221,1.24528,0.001486,0.001486,0.001486
88,15915.1,0.51925,0.4245,1.05885,0.83288,0.72935,0.77327,0.6198,0.75502,0.73229,1.24578,0.001387,0.001387,0.001387
89,16095.2,0.5182,0.41732,1.05643,0.83182,0.73076,0.77353,0.61984,0.75498,0.73296,1.2462,0.001288,0.001288,0.001288
90,16275.6,0.51511,0.41435,1.05257,0.83004,0.73193,0.77354,0.62034,0.75495,0.7341,1.24691,0.001189,0.001189,0.001189
91,16458.5,0.4648,0.33908,1.02064,0.82991,0.73238,0.7727,0.61977,0.75509,0.73649,1.24756,0.00109,0.00109,0.00109
92,16638.7,0.45214,0.32111,1.00978,0.83048,0.73226,0.77229,0.6194,0.75511,0.73863,1.24818,0.000991,0.000991,0.000991
93,16819,0.44619,0.3109,1.00703,0.83188,0.7321,0.77231,0.61976,0.75466,0.73992,1.24841,0.000892,0.000892,0.000892
94,16999.1,0.43672,0.30339,0.99823,0.83148,0.73329,0.77218,0.62023,0.75457,0.74148,1.24893,0.000793,0.000793,0.000793
95,17179.4,0.42976,0.2967,0.99286,0.82948,0.73506,0.77195,0.62024,0.75445,0.74306,1.24969,0.000694,0.000694,0.000694
96,17359.6,0.42537,0.29114,0.99059,0.82771,0.73621,0.77165,0.62016,0.75446,0.74419,1.25068,0.000595,0.000595,0.000595
97,17539.7,0.41689,0.28244,0.98561,0.82769,0.73531,0.77112,0.61985,0.75454,0.74587,1.25132,0.000496,0.000496,0.000496
98,17719.9,0.41202,0.27783,0.98144,0.82847,0.73518,0.77068,0.61998,0.75451,0.74728,1.25215,0.000397,0.000397,0.000397
99,17899.7,0.40932,0.27585,0.9793,0.83641,0.72918,0.77038,0.62011,0.75424,0.74821,1.25284,0.000298,0.000298,0.000298
100,18080,0.40052,0.26535,0.97202,0.83617,0.7295,0.7699,0.6199,0.75414,0.7492,1.25347,0.000199,0.000199,0.000199
